panel-przyd,widz,wiek1,prez2-przyd,panel-future,znajomosc,meetup,freq2,prez1-przyd,druk,temat,freq1,sex,prez2-przyst,prez1-przyst,wiek2,skad,cel,ang,panel-przyst
,Nie,18-30,,,ukończyłam/ukończyłem tutorial podstaw Pythona;używam Pythona hobbystycznie,001,,,,,,Mężczyzna,,,,proponowane na yt,"web (back-end, web scraping, boty);nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych)",Tak,
,"Nie, ale lubię ankiety",18-30,,,,002,,,,,,Kobieta,,,,na facebooku,,,
,"Tak, na żywo",18-30,4,,,002,,3,,,,Kobieta,4,3,,na facebooku,,,
,"Tak, na Youtube",18-30,4,,,002,,4,,,,Mężczyzna,3,5,,na facebooku,,,
,"Tak, na żywo",18-30,2,,,002,,2,,,,Mężczyzna,3,3,,na facebooku,,,
,"Tak, na żywo",18-30,4,,,002,,3,,,,Kobieta,2,4,,na facebooku,,,
,"Tak, na żywo",18-30,3,,,002,,3,,,,Mężczyzna,5,5,,na facebooku,,,
,"Tak, na żywo",18-30,3,,,002,,4,,,,Kobieta,5,5,,na facebooku,,,
,"Tak, na żywo",18-30,3,,,002,,3,,,,Mężczyzna,4,4,,na facebooku,,,
,"Tak, na żywo",41-50,5,,,002,,5,,,,Mężczyzna,5,5,,od kogoś z teamu PyLight,,,
,"Tak, na żywo",18-30,3,,,002,,3,,,,Mężczyzna,2,4,,na facebooku,,,
,"Tak, na żywo",18-30,3,,,002,,3,,,,Kobieta,5,4,,Warsztaty Django Girls,,,
,"Tak, na żywo",18-30,3,,,002,,4,,,,Mężczyzna,4,5,,na facebooku,,,
,"Tak, na żywo",18-30,4,,,002,,3,,,,Kobieta,2,5,,na spotkaniu PyWaw,,,
,"Tak, na żywo",31-40,2,,,002,,2,,,,Mężczyzna,4,5,,na spotkaniu PyWaw,,,
,"Tak, na żywo",18-30,5,,,002,,5,,,,Mężczyzna,4,4,,od znajomego,,,
,"Tak, na żywo",18-30,3,,,002,,3,,,,Mężczyzna,2,4,,na facebooku,,,
,"Tak, na żywo",18-30,4,,,002,,4,,,,Kobieta,3,5,,od znajomego,,,
,"Nie, ale lubię ankiety",18-30,,,,002,,,,,,Kobieta,,,,na facebooku,,,
